site type swap energy
120 5 1 -1440.78672518
120 5 2 -1441.95008024
120 5 3 -1442.50172817
120 5 4 -1438.11416540
121 5 1 -1440.78733019
121 5 2 -1441.95070917
121 5 3 -1442.48879539
121 5 4 -1438.05734077
122 5 1 -1440.76647027
122 5 2 -1441.95463512
122 5 3 -1442.47935942
122 5 4 -1438.12574727
123 5 1 -1440.82280646
123 5 2 -1441.93106714
123 5 3 -1442.53602442
123 5 4 -1438.11661100
124 5 1 -1440.80168867
124 5 2 -1441.94080142
124 5 3 -1442.52113143
124 5 4 -1438.13330319
125 5 1 -1440.78037593
125 5 2 -1441.88990974
125 5 3 -1442.54231911
125 5 4 -1438.08013425
